x_data|y_data
re suddenly stopped. Insurers that receive the subsidies in exch|e suddenly stopped. Insurers that receive the subsidies in excha
ange for paying costs such as deductibles and for eligible consu|nge for paying costs such as deductibles and for eligible consum
mers could race to drop coverage since they would be losing mone|ers could race to drop coverage since they would be losing money
y. Over all, the loss of the subsidies could destabilize the ent|. Over all, the loss of the subsidies could destabilize the enti
ire program and cause a lack of confidence that leads other insu|re program and cause a lack of confidence that leads other insur
rers to seek a quick exit as well. Anticipating that the Trump a|ers to seek a quick exit as well. Anticipating that the Trump ad
dministration might not be inclined to mount a vigorous fight ag|ministration might not be inclined to mount a vigorous fight aga
ainst the House Republicans given the ’s dim view of the health |inst the House Republicans given the ’s dim view of the health c
care law, a team of lawyers this month sought to intervene in th|are law, a team of lawyers this month sought to intervene in the
e case on behalf of two participants in the health care program.| case on behalf of two participants in the health care program. 
 In their request, the lawyers predicted that a deal between Hou|In their request, the lawyers predicted that a deal between Hous
se Republicans and the new administration to dismiss or settle t|e Republicans and the new administration to dismiss or settle th
he case “will produce devastating consequences for the individua|e case “will produce devastating consequences for the individual
ls who receive these reductions, as well as for the nation’s hea|s who receive these reductions, as well as for the nation’s heal
lth insurance and health care systems generally. ” No matter wha|th insurance and health care systems generally. ” No matter what
t happens, House Republicans say, they want to prevail on two ov| happens, House Republicans say, they want to prevail on two ove
erarching concepts: the congressional power of the purse, and th|rarching concepts: the congressional power of the purse, and the
e right of Congress to sue the executive branch if it violates t| right of Congress to sue the executive branch if it violates th
he Constitution regarding that spending power. House Republicans|e Constitution regarding that spending power. House Republicans 
 contend that Congress never appropriated the money for the subs|contend that Congress never appropriated the money for the subsi
idies, as required by the Constitution. In the suit, which was i|dies, as required by the Constitution. In the suit, which was in
nitially championed by John A. Boehner, the House speaker at the|itially championed by John A. Boehner, the House speaker at the 
 time, and later in House committee reports, Republicans asserte|time, and later in House committee reports, Republicans asserted
d that the administration, desperate for the funding, had requir| that the administration, desperate for the funding, had require
ed the Treasury Department to provide it despite widespread inte|d the Treasury Department to provide it despite widespread inter
rnal skepticism that the spending was proper. The White House sa|nal skepticism that the spending was proper. The White House sai
id that the spending was a permanent part of the law passed in 2|d that the spending was a permanent part of the law passed in 20
010, and that no annual appropriation was required — even though|10, and that no annual appropriation was required — even though 
 the administration initially sought one. Just as important to H|the administration initially sought one. Just as important to Ho
ouse Republicans, Judge Collyer found that Congress had the stan|use Republicans, Judge Collyer found that Congress had the stand
ding to sue the White House on this issue — a ruling that many l|ing to sue the White House on this issue — a ruling that many le
egal experts said was flawed — and they want that precedent to b|gal experts said was flawed — and they want that precedent to be
e set to restore congressional leverage over the executive branc| set to restore congressional leverage over the executive branch
h. But on spending power and standing, the Trump administration |. But on spending power and standing, the Trump administration m
may come under pressure from advocates of presidential authority|ay come under pressure from advocates of presidential authority 
 to fight the House no matter their shared views on health care,|to fight the House no matter their shared views on health care, 
 since those precedents could have broad repercussions. It is a |since those precedents could have broad repercussions. It is a c
complicated set of dynamics illustrating how a quick legal victo|omplicated set of dynamics illustrating how a quick legal victor
ry for the House in the Trump era might come with costs that Rep|y for the House in the Trump era might come with costs that Repu
ublicans never anticipated when they took on the Obama White Hou|blicans never anticipated when they took on the Obama White Hous
se|e.
After the bullet shells get counted, the blood dries and the vot|fter the bullet shells get counted, the blood dries and the voti
ive candles burn out, people peer down from windows and see crim|ve candles burn out, people peer down from windows and see crime
e scenes gone cold: a band of yellow police tape blowing in the | scenes gone cold: a band of yellow police tape blowing in the b
breeze. The South Bronx, just across the Harlem River from Manha|reeze. The South Bronx, just across the Harlem River from Manhat
ttan and once shorthand for urban dysfunction, still suffers vio|tan and once shorthand for urban dysfunction, still suffers viol
lence at levels long ago slashed in many other parts of New York|ence at levels long ago slashed in many other parts of New York 
 City. And yet the city’s efforts to fight it remain splintered,|City. And yet the city’s efforts to fight it remain splintered, 
 underfunded and burdened by scandal. In the 40th Precinct, at t|underfunded and burdened by scandal. In the 40th Precinct, at th
he southern tip of the Bronx, as in other poor, minority neighbo|e southern tip of the Bronx, as in other poor, minority neighbor
rhoods across the country, people long hounded for infractions a|hoods across the country, people long hounded for infractions ar
re crying out for more protection against grievous injury or dea|e crying out for more protection against grievous injury or deat
th. By September, four of every five shootings in the precinct t|h. By September, four of every five shootings in the precinct th
his year were unsolved. Out of the city’s 77 precincts, the 40th|is year were unsolved. Out of the city’s 77 precincts, the 40th 
 has the highest murder rate but the fewest detectives per viole|has the highest murder rate but the fewest detectives per violen
nt crime, reflecting disparities in staffing that hit hardest in|t crime, reflecting disparities in staffing that hit hardest in 
 some neighborhoods outside Manhattan, according to a New York T|some neighborhoods outside Manhattan, according to a New York Ti
imes analysis of Police Department data. Investigators in the pr|mes analysis of Police Department data. Investigators in the pre
ecinct are saddled with twice the number of cases the department|cinct are saddled with twice the number of cases the department 
 recommends, even as their bosses are called to Police Headquart|recommends, even as their bosses are called to Police Headquarte
ers to answer for the sharpest crime rise in the city this year.|rs to answer for the sharpest crime rise in the city this year. 
 And across the Bronx, investigative resources are squeezed. It |And across the Bronx, investigative resources are squeezed. It h
has the highest rate of the city’s five boroughs but the thinnes|as the highest rate of the city’s five boroughs but the thinnest
t detective staffing. Nine of the 14 precinct detective squads f| detective staffing. Nine of the 14 precinct detective squads fo
or violent crime in the city are there. The borough’s robbery sq|r violent crime in the city are there. The borough’s robbery squ
uad is smaller than Manhattan’s, even though the Bronx has had 1|ad is smaller than Manhattan’s, even though the Bronx has had 1,
, 300 more cases this year. And its homicide squad has one detec| 300 more cases this year. And its homicide squad has one detect
tive for every four murders, compared with one detective for rou|ive for every four murders, compared with one detective for roug
ghly every two murders in Upper Manhattan and more than one dete|hly every two murders in Upper Manhattan and more than one detec
ctive per murder in Lower Manhattan. In lobbies and family apart|tive per murder in Lower Manhattan. In lobbies and family apartm
ments, outside methadone clinics and art studios, people take no|ents, outside methadone clinics and art studios, people take not
te of the inequity. They hear police commanders explain that the|e of the inequity. They hear police commanders explain that they
y lack the resources to place a floodlight on a dangerous block | lack the resources to place a floodlight on a dangerous block o
or to post officers at a corner. They watch witnesses cower behi|r to post officers at a corner. They watch witnesses cower behin
nd doors, more fearful of a gunman’s crew than confident in the |d doors, more fearful of a gunman’s crew than confident in the P
Police Department’s ability to protect them. So though people se|olice Department’s ability to protect them. So though people see
e a lot, they rarely testify. And in the South Bronx, as in so m| a lot, they rarely testify. And in the South Bronx, as in so ma
any predominantly black and Hispanic neighborhoods like it in th|ny predominantly black and Hispanic neighborhoods like it in the
e United States, the contract between the police and the communi| United States, the contract between the police and the communit
ty is in tatters. Some people have stories of crime reports that|y is in tatters. Some people have stories of crime reports that 
 were ignored, or 911 calls that went unanswered for hours. Othe|were ignored, or 911 calls that went unanswered for hours. Other
rs tell of a 911 call for help ending in the caller’s arrest, or|s tell of a 911 call for help ending in the caller’s arrest, or 
 of a minor charge leading to 12 hours in a fetid holding cell. |of a minor charge leading to 12 hours in a fetid holding cell. T
This is the paradox of policing in the 40th Precinct. Its neighb|his is the paradox of policing in the 40th Precinct. Its neighbo
orhoods have historically been prime targets for aggressive tact|rhoods have historically been prime targets for aggressive tacti
ics, like that are designed to ward off disorder. But precinct d|cs, like that are designed to ward off disorder. But precinct de
etectives there have less time than anywhere else in the city to|tectives there have less time than anywhere else in the city to 
 answer for the blood spilled in violent crimes. Gola White, who|answer for the blood spilled in violent crimes. Gola White, who 
 was beside her daughter when she was shot and killed in a playg|was beside her daughter when she was shot and killed in a playgr
round this summer, four years after her son was gunned down in t|ound this summer, four years after her son was gunned down in th
he same housing project, ticked off the public safety resources |e same housing project, ticked off the public safety resources t
that she said were scant in Bronx neighborhoods like hers: secur|hat she said were scant in Bronx neighborhoods like hers: securi
ity cameras, lights, locks, investigating police officers. “Here|ty cameras, lights, locks, investigating police officers. “Here,
, we have nothing,” she said. When it comes to “ families,” she | we have nothing,” she said. When it comes to “ families,” she s
said, the authorities “don’t really care as much. That’s how I f|aid, the authorities “don’t really care as much. That’s how I fe
eel. ” The Times has been documenting the murders logged this ye|el. ” The Times has been documenting the murders logged this yea
ar in the 40th Precinct, one of a handful of neighborhoods where|r in the 40th Precinct, one of a handful of neighborhoods where 
 deadly violence remains a problem in an era of crime in New Yor|deadly violence remains a problem in an era of crime in New York
k City. The homicides — 14 in the precinct this year, up from ni| City. The homicides — 14 in the precinct this year, up from nin
ne in 2015 — strain detectives, and when they go unsolved, as ha|e in 2015 — strain detectives, and when they go unsolved, as hal
lf of them have this year, some look to take the law into their |f of them have this year, some look to take the law into their o
own hands. From hundreds of conversations with grieving relative|wn hands. From hundreds of conversations with grieving relatives
s and friends, witnesses and police officers, the social forces | and friends, witnesses and police officers, the social forces t
that flare into murder in a place like the 40th Precinct become |hat flare into murder in a place like the 40th Precinct become c
clearer: merciless gang codes, mental illness, drugs and long me|learer: merciless gang codes, mental illness, drugs and long mem
mories of feuds that simmered out of officers’ view. The reasons|ories of feuds that simmered out of officers’ view. The reasons 
 some murders will never be solved also emerge: paralyzing fear |some murders will never be solved also emerge: paralyzing fear o
of retribution, victims carrying secrets to their graves and rel|f retribution, victims carrying secrets to their graves and rele
entless casework that forces detectives to move on in hopes that|ntless casework that forces detectives to move on in hopes that 
 a break will come later. Frustrations build on all sides. Detec|a break will come later. Frustrations build on all sides. Detect
tives’ phones rarely ring with tips, and officers grow embittere|ives’ phones rarely ring with tips, and officers grow embittered
d with witnesses who will not cooperate. In the meantime, a vict| with witnesses who will not cooperate. In the meantime, a victi
im’s friends conduct their own investigations, and talk of grabb|m’s friends conduct their own investigations, and talk of grabbi
ing a stash gun from a wheel well or a mother’s apartment when t|ng a stash gun from a wheel well or a mother’s apartment when th
hey find their suspect. In the chasm between the police and the |ey find their suspect. In the chasm between the police and the c
community, gangs and gun violence flourish. Parents try to prote|ommunity, gangs and gun violence flourish. Parents try to protec
ct their families from drug crews’ threats, and officers work to|t their families from drug crews’ threats, and officers work to 
 overcome the residue of years of mistrust and understaffing in |overcome the residue of years of mistrust and understaffing in c
communities where they still go racing from one 911 call to the |ommunities where they still go racing from one 911 call to the n
next. The streets around St. Mary’s Park were the scene of two f|ext. The streets around St. Mary’s Park were the scene of two fa
atal shootings logged in the 40th Precinct this year. Both are u|tal shootings logged in the 40th Precinct this year. Both are un
nsolved. James Fernandez heard talk of the murders through the d|solved. James Fernandez heard talk of the murders through the do
oor of his apartment on East 146th Street in a the Betances Hous|or of his apartment on East 146th Street in a the Betances House
es. He lived at the end of a long hallway strewn with hypodermic|s. He lived at the end of a long hallway strewn with hypodermic 
 needles, empty dope bags and discarded Hennessy bottles. A youn|needles, empty dope bags and discarded Hennessy bottles. A young
g men who spoke of being in a subset of the Bloods gang had made| men who spoke of being in a subset of the Bloods gang had made 
 it their drug market, slinging marijuana and cocaine to regular|it their drug market, slinging marijuana and cocaine to regulars
s, flashing firearms and blowing smoke into the Fernandez apartm|, flashing firearms and blowing smoke into the Fernandez apartme
ent. When Mr. Fernandez, 40, asked the young men to move, they a|nt. When Mr. Fernandez, 40, asked the young men to move, they an
nswered by busting up his car. This kind of crime, an anachronis|swered by busting up his car. This kind of crime, an anachronism
m in much of New York, still rattles the 40th Precinct, even tho| in much of New York, still rattles the 40th Precinct, even thou
ugh murders there have fallen to 14 this year from 83 in 1991. I|gh murders there have fallen to 14 this year from 83 in 1991. It
t has more major felony crimes per resident than any other resid| has more major felony crimes per resident than any other reside
ential district in the city. It is also one of the poorest commu|ntial district in the city. It is also one of the poorest commun
nities in the country, and many young men find their way into un|ities in the country, and many young men find their way into und
derground markets. Mr. Fernandez was not one to shrink from the |erground markets. Mr. Fernandez was not one to shrink from the t
threats. When he was growing up on the Lower East Side, he rode |hreats. When he was growing up on the Lower East Side, he rode h
his bicycle around to the customers of the drug dealers he worke|is bicycle around to the customers of the drug dealers he worked
d for and collected payments in a backpack. After leaving that l| for and collected payments in a backpack. After leaving that li
ife, he got a tech maintenance job and, three years ago, moved i|fe, he got a tech maintenance job and, three years ago, moved in
nto the Betances Houses with his wife and daughter, now 11. He h|to the Betances Houses with his wife and daughter, now 11. He ha
ad two choices to get help with the drug crew: call the police f|d two choices to get help with the drug crew: call the police fo
or help and risk being labeled a snitch, or call his old Lower E|r help and risk being labeled a snitch, or call his old Lower Ea
ast Side bosses for muscle and risk violence. He chose the polic|st Side bosses for muscle and risk violence. He chose the police
e. Again and again, he walked into a local substation, Police Se|. Again and again, he walked into a local substation, Police Ser
rvice Area 7, and asked for protection. His daughter was using a|vice Area 7, and asked for protection. His daughter was using an
n inhaler to relieve coughs from the marijuana smoke. Mr. Fernan| inhaler to relieve coughs from the marijuana smoke. Mr. Fernand
dez and his wife got terrible headaches. “There’s a lot of kille|ez and his wife got terrible headaches. “There’s a lot of killer
rs here, and we are going to kill you,” a sergeant’s police repo|s here, and we are going to kill you,” a sergeant’s police repor
rt quoted a telling Mr. Fernandez in August 2015. A second repor|t quoted a telling Mr. Fernandez in August 2015. A second report
t filed the same day said a warned him, “I’m going to shoot thro| filed the same day said a warned him, “I’m going to shoot throu
ugh your window. ” Mr. Fernandez told the police both the teenag|gh your window. ” Mr. Fernandez told the police both the teenage
ers’ names, which appear in the reports, and then went home. He |rs’ names, which appear in the reports, and then went home. He s
said one of their friends had seen him walk into the substation,|aid one of their friends had seen him walk into the substation, 
 and they tried to intimidate him out of filing another report. |and they tried to intimidate him out of filing another report. T
Three days later, the same propped his bike on their door, “then|hree days later, the same propped his bike on their door, “then 
 said if I was to open the door and say something, they would bo|said if I was to open the door and say something, they would bod
dy slam me,” Mr. Fernandez’s wife, Maria Fernandez, wrote on sli|y slam me,” Mr. Fernandez’s wife, Maria Fernandez, wrote on slip
ps of paper she used to document the hallway ruckus and the inad|s of paper she used to document the hallway ruckus and the inade
equate police response. The boys made comments about how easy a |quate police response. The boys made comments about how easy a t
target she was and about how they would have to “slap” her if sh|arget she was and about how they would have to “slap” her if she
e opened the door while they made a drug sale, and they threaten| opened the door while they made a drug sale, and they threatene
ed to beat the Fernandez family because “they are the ones snitc|d to beat the Fernandez family because “they are the ones snitch
hing,” her notes say. But another complaint at the substation, 1|ing,” her notes say. But another complaint at the substation, 10
0 days after the first, brought no relief. A week later, feeling| days after the first, brought no relief. A week later, feeling 
 desperate, Ms. Fernandez tried calling: first to the substation|desperate, Ms. Fernandez tried calling: first to the substation,
, at 8:50 p. m. when one of the boys blew weed smoke at her door| at 8:50 p. m. when one of the boys blew weed smoke at her door 
 and made a threat to attack her, and then to 911 at 10:36 p. m.|and made a threat to attack her, and then to 911 at 10:36 p. m. 
 The police never came, she wrote in her notes. She tried the 40|The police never came, she wrote in her notes. She tried the 40t
th Precinct station house next, but officers at the desk left he|h Precinct station house next, but officers at the desk left her
r standing in the public waiting area for a she said, making her| standing in the public waiting area for a she said, making her 
 fear being seen again. Officers put her in worse danger some mo|fear being seen again. Officers put her in worse danger some mon
nths later, she said, when they came to her door and announced i|ths later, she said, when they came to her door and announced in
n front of the teenagers that they were there on a complaint abo| front of the teenagers that they were there on a complaint abou
ut drug activity. Mr. Fernandez started doing the work that he s|t drug activity. Mr. Fernandez started doing the work that he sa
aid the police had failed to do. He wired a camera into his peep|id the police had failed to do. He wired a camera into his peeph
hole to record the drugs and guns. The footage hark back to the |ole to record the drugs and guns. The footage hark back to the N
New York of the 1980s, still very much present to some of the pr|ew York of the 1980s, still very much present to some of the pre
ecinct’s residents. Around 6:30 each morning, Sgt. Michael J. Lo|cinct’s residents. Around 6:30 each morning, Sgt. Michael J. LoP
Puzzo walks through the tall wooden doors of the 40th Precinct s|uzzo walks through the tall wooden doors of the 40th Precinct st
tation house. The cases that land on his metal desk — dead bodie|ation house. The cases that land on his metal desk — dead bodies
s with no known cause, strip club brawls, shooting victims hobbl| with no known cause, strip club brawls, shooting victims hobbli
ing into the hospital themselves — bring resistance at every tur|ng into the hospital themselves — bring resistance at every turn
n, reminding him of an earlier era in the city’s campaign. “I ha|, reminding him of an earlier era in the city’s campaign. “I hav
ven’t got one single phone call that’s putting me in the right d|en’t got one single phone call that’s putting me in the right di
irection here,” said Sergeant LoPuzzo, the head of the precinct’|rection here,” said Sergeant LoPuzzo, the head of the precinct’s
s detective squad, one day this summer as he worked on an answer| detective squad, one day this summer as he worked on an answer 
 to an email inquiry from a murder victim’s aunt about why the k|to an email inquiry from a murder victim’s aunt about why the ki
iller had not been caught. “And people just don’t understand tha|ller had not been caught. “And people just don’t understand that
t. ” Often it is detectives who most feel the effects of people |. ” Often it is detectives who most feel the effects of people t
turning on the police. Witnesses shout them away from their door|urning on the police. Witnesses shout them away from their doors
s just so neighbors know they refuse to talk. Of the 184 people | just so neighbors know they refuse to talk. Of the 184 people w
who were shot and wounded in the Bronx through early September, |ho were shot and wounded in the Bronx through early September, m
more than a third — 66 victims — refused to cooperate. Over the |ore than a third — 66 victims — refused to cooperate. Over the s
same period in the 40th Precinct, squad detectives closed three |ame period in the 40th Precinct, squad detectives closed three o
of 17 nonfatal shootings, and 72 of 343 robbery cases. Part of t|f 17 nonfatal shootings, and 72 of 343 robbery cases. Part of th
he resistance stems from preventive policing tactics, like that |e resistance stems from preventive policing tactics, like that w
were a hallmark of the style under former Mayor Michael R. Bloom|ere a hallmark of the style under former Mayor Michael R. Bloomb
berg and his police commissioner, Raymond W. Kelly. Near the hei|erg and his police commissioner, Raymond W. Kelly. Near the heig
ght of the strategy, in 2012, the 40th Precinct had the stops in|ht of the strategy, in 2012, the 40th Precinct had the stops in 
 the city, the stops in which officers used force and the most f|the city, the stops in which officers used force and the most fr
risks. Of 18, 276 stops that year, 15, 521 were of people who ha|isks. Of 18, 276 stops that year, 15, 521 were of people who had
d done nothing criminal. The precinct was also one of the areas | done nothing criminal. The precinct was also one of the areas t
that the department flooded with its newest officers. At roll ca|hat the department flooded with its newest officers. At roll cal
lls, they were pressured to generate numbers: write tickets and |ls, they were pressured to generate numbers: write tickets and m
make arrests. They had no choice but to give a summons to a youn|ake arrests. They had no choice but to give a summons to a young
g man playing in a park after dark, even if the officers had don| man playing in a park after dark, even if the officers had done
e the same growing up in the same neighborhood. “I need to bring| the same growing up in the same neighborhood. “I need to bring 
 something in today to justify my existence,” Officer Argenis Ro|something in today to justify my existence,” Officer Argenis Ros
sado, who joined the precinct in 2010, said in an interview at t|ado, who joined the precinct in 2010, said in an interview at th
he station house. “So now you’re in a small area, and day after |e station house. “So now you’re in a small area, and day after d
day you’re hammering the same community. Of course that communit|ay you’re hammering the same community. Of course that community
y’s eventually going to turn on you. ” The pressure warped the w|’s eventually going to turn on you. ” The pressure warped the wa
ay officers and residents saw each other. Rookies had to ignore |y officers and residents saw each other. Rookies had to ignore w
why someone might be drinking outside or sitting on a stoop. “So|hy someone might be drinking outside or sitting on a stoop. “Som
me of the cops that came out at that time probably viewed the co|e of the cops that came out at that time probably viewed the com
mmunity differently, too,” said Hector Espada, a veteran of the |munity differently, too,” said Hector Espada, a veteran of the p
precinct. “Not because they wanted to, but because they had to. |recinct. “Not because they wanted to, but because they had to. B
Because some way or somehow, you can’t give someone a $115 summo|ecause some way or somehow, you can’t give someone a $115 summon
ns and feel like you guys could still have a civil conversation |s and feel like you guys could still have a civil conversation a
after that. ” Morale wilted in the aged station house on Alexand|fter that. ” Morale wilted in the aged station house on Alexande
er Avenue, in Mott Haven. Officers felt pressure to downgrade cr|r Avenue, in Mott Haven. Officers felt pressure to downgrade cri
ime complaints to make them appear less serious. Several said in|me complaints to make them appear less serious. Several said in 
 interviews that they had overlooked crime reports from immigran|interviews that they had overlooked crime reports from immigrant
ts because they were seen as unlikely to complain, and watched s|s because they were seen as unlikely to complain, and watched su
upervisors badger victims into repeating their stories in hopes |pervisors badger victims into repeating their stories in hopes t
that they would drop their complaints. The practice of downgradi|hat they would drop their complaints. The practice of downgradin
ng complaints resulted in the disciplining of 19 officers in the|g complaints resulted in the disciplining of 19 officers in the 
 precinct last year, one in a string of scandals that has left o|precinct last year, one in a string of scandals that has left of
fficers there feeling overscrutinized for problems that also exi|ficers there feeling overscrutinized for problems that also exis
sted elsewhere. Four commanders in the precinct were sent packin|ted elsewhere. Four commanders in the precinct were sent packing
g in five years, one of them after officers were found to be “ti| in five years, one of them after officers were found to be “tic
cket fixing,” or forgiving parking tickets for friends, and anot|ket fixing,” or forgiving parking tickets for friends, and anoth
her after he was recorded giving guidance on whom to stop and fr|er after he was recorded giving guidance on whom to stop and fri
isk: black boys and men, ages 14 to 21. Some officers fled to ot|sk: black boys and men, ages 14 to 21. Some officers fled to oth
her commands. Others became reluctant to take assignments in pro|er commands. Others became reluctant to take assignments in proa
active policing units, like that put them in situations on the s|ctive policing units, like that put them in situations on the st
treet. “Whenever I walked through the doors of the precinct, to |reet. “Whenever I walked through the doors of the precinct, to m
me, it seemed like a black cloud,” said Russell Lewis, a of the |e, it seemed like a black cloud,” said Russell Lewis, a of the 4
40th. “It was like a heaviness. When you walked in, all you want|0th. “It was like a heaviness. When you walked in, all you wante
ed to do was do your 8 hours 35 minutes and go home, because you|d to do was do your 8 hours 35 minutes and go home, because you 
 didn’t want to get caught up in anything. ” The precinct covers|didn’t want to get caught up in anything. ” The precinct covers 
 only about two square miles, but the more than a dozen housing |only about two square miles, but the more than a dozen housing p
projects there mean that it overflows with people. Methadone cli|rojects there mean that it overflows with people. Methadone clin
nics draw addicts from around the city. lofts on the southern ed|ics draw addicts from around the city. lofts on the southern edg
ge of the precinct presage a wave of gentrification. Even as the|e of the precinct presage a wave of gentrification. Even as the 
 Police Department has hired 1, 300 more officers for neighborho|Police Department has hired 1, 300 more officers for neighborhoo
od policing and counterterrorism, officers in the 40th Precinct |d policing and counterterrorism, officers in the 40th Precinct s
said they could still rush to 25 911 calls during a shift — a nu|aid they could still rush to 25 911 calls during a shift — a num
mber unchanged from what the new police commissioner, James P. O|ber unchanged from what the new police commissioner, James P. O’
’Neill, said he was handling in a similar South Bronx precinct 1|Neill, said he was handling in a similar South Bronx precinct 15
5 years ago. Several dozen calls at a time can be waiting for a | years ago. Several dozen calls at a time can be waiting for a r
response. Residents know that if you want the police for a domes|esponse. Residents know that if you want the police for a domest
tic problem, it helps to hint that there is a weapon. Last year,|ic problem, it helps to hint that there is a weapon. Last year, 
 the precinct drew the number of civilian complaints for officer|the precinct drew the number of civilian complaints for officer 
 misconduct in the city, and the most lawsuits stemming from pol|misconduct in the city, and the most lawsuits stemming from poli
ice actions. The precinct is trying to improve morale under a ne|ce actions. The precinct is trying to improve morale under a new
w commanding officer, Deputy Inspector Brian Hennessy. A cadre o| commanding officer, Deputy Inspector Brian Hennessy. A cadre of
f what the department calls neighborhood coordination officers h| what the department calls neighborhood coordination officers ha
as been on patrol since last January, part of a citywide effort |s been on patrol since last January, part of a citywide effort u
under Mr. O’Neill and Mayor Bill de Blasio to bring back the bea|nder Mr. O’Neill and Mayor Bill de Blasio to bring back the beat
t cop, unencumbered by chasing every last 911 call, who can list| cop, unencumbered by chasing every last 911 call, who can liste
en to people’s concerns and help with investigations. The precin|n to people’s concerns and help with investigations. The precinc
ct has made among the most gun arrests in the city, and officers|t has made among the most gun arrests in the city, and officers 
 said they now had more discretion to resolve encounters without|said they now had more discretion to resolve encounters without 
 a summons or an arrest. At one corner near a school, on Courtla|a summons or an arrest. At one corner near a school, on Courtlan
ndt Avenue and East 151st Street, that has long spawned complain|dt Avenue and East 151st Street, that has long spawned complaint
ts about gunfire and fights, Inspector Hennessy and some of his |s about gunfire and fights, Inspector Hennessy and some of his o
officers painted over graffiti and swept up drug paraphernalia t|fficers painted over graffiti and swept up drug paraphernalia th
his summer. People said it was the first answer to their complai|is summer. People said it was the first answer to their complain
nts in years. But the inspector acknowledged that the residue of|ts in years. But the inspector acknowledged that the residue of 
